"doc_id","text","blue_sense_margin"
"17588871","there're some adjectives like hairy and happy and sad and blue",0.32632739244968
"1874322","who's sad and blue",0.326014468887166
"1874329","i sad blue",0.281154292443168
"2151231","he was feeling sad and blue until he met the number two",0.238509360785576
"1246652","well as i was driving down the road i was dr here driving down this road on blue hill and the wind blew so hard that my car was almost lifted off the ground by the wind",0.178637320033731
"1037144","xxx doing today blue",0.162931846656609
"576976","right this is a book of feeling blue and",0.139046504036969
"1260043","look cried a small blue eyed girl there's the orange kitten miss prissy brought from the pet shop last week",0.1254520472906
"17597709","no no sleepy bear was blue was breathing on it",0.106022123881336
"17291276","bye blue",0.101129035184433
"325238","blue boat",0.0987322267829295
"1772381","fell down blue one",0.098329497879334
"2556362","blue found teddy and he hiding",0.0970116608263723
"1157794","where's my blue um my soup",0.0949403625179368
"17402033","xxx let's find the blue",0.0919761669232322
"499582","wanna xxx blue",0.0914052849585948
"17578399","xxx night there was a blue blue blueberry",0.0899760390884378
"1740382","the blue went down",0.085575916190238
"864576","have another blue present mommy",0.0839540209948041
"1040655","xxx got enough blue there katie",0.0833782612175369
"1724936","down goes the blue one",0.0833212957533588
"1846668","mommy your blue one",0.0807379382607017
"17388964","blue's a doggie",0.0790649789121354
"1557436","i want to sit in this blue one",0.078350281537742
"2012656","just sort of out_of the blue so he had obviously remembered what he had said yesterday",0.0775649802620219
"17346333","xxx no no blue",0.076158178213354
"669881","gabriella's taking a little bit blue she sings and she eats",0.0761288614868434
"17665068","xxx blue christmas",0.0760066066012027
"577638","do you think it has something do with feeling blue",0.0755100244175688
"17296882","xxx this one the blue",0.0748999001218917
"1772390","you fell down on the blue one",0.0742983376475966
"927295","where's the blue one buddy",0.0715597576358523
"929464","where's the blue one buddy",0.0715597576358523
"17272472","let's get xxx good blue",0.0706023629555014
"1134796","xxx the blue",0.0686369525431266
"17374499","xxx the blue",0.0686369525431266
"1592523","blue gone eat it",0.0684425741866719
"1772320","i sitting blue one",0.0672890726917357
"17705874","you like the blue and these blues and these blues",0.0660997818911226
"17364376","my xxx blanket that's blue and plays peek a boo",0.0655176863448156
"579500","xxx it's a good thing i got red i don't wanna get blue",0.0649579640869705
"1831087","mommy and you have the blue one",0.0642463663066091
"671101","m blue berry pie",0.0633782910970873
"1895705","xxx dere my blue one",0.0630191318810531
"726330","he was beginning to feel all sort of blue and squishy inside",0.0615843245712259
"1740371","blue down",0.061173787129029
"17382019","i see i've got blue play_doh stuck on me",0.0604433505818562
"1421257","m go blue",0.0599985048990807
"17295453","oh xxx blue",0.0599850855189145
"1407626","blue and where's it going",0.0580307285570952
"1772563","what happen blue one",0.0574132605348128
"17487681","there you go guys said brenda blue your water tanks are filled to the brim",0.0569578761647594
"883564","it turned blue it hurt so much",0.0568084732334093
"17642309","blue's friends",0.0560298123097417
"1795193","here xxx a blue",0.0559513965343813
"811727","a station wagon a blue one",0.0543177100391634
"1901479","xxx wants the blue one",0.0541981630641405
"1625497","let me sit on the red blue chair",0.0534821024372051
"17519022","mommy blue one",0.0531434480140392
"618715","its a castle high and the day so blue and the day so blue and the year so yur and nah morning is here today",0.0528501678914906
"17375132","you wanna blue one okay",0.0522390717221378
"17380046","xxx blue goes to school",0.0521569214290167
"1106518","xxx the blue one",0.0513127720900672
"1646635","xxx the blue one",0.0513127720900672
"1402851","go blue go blue",0.0511637918846742
"17579508","compared to blue hill",0.0511391423258242
"17297563","xxx i i need blue",0.0509564435804902
"1514563","and i am sitting on a blue too",0.0502288034970066
"818957","your phone's the blue one",0.049997192830055
"17169471","well the blue one xxx",0.0499481712930274
"399889","wa wanna anotter blue",0.048830687798082
"17536352","xxx underneath the crib and see if there are any balls oh there's a big ball but not the blue ball",0.0487218696175021
"1402882","go blue go go go blue",0.0482283348760608
"17306107","go find the other half to the blue",0.0457269209748534
"1321857","can you slide at b blue hills",0.0456484954605789
"1774486","why don't you ride your other blue one",0.0448031419812053
"1146666","xxx you want the blue one",0.0437123258620968
"507301","i xxx need blue",0.0431713733637436
"933975","the goat is happy and the sky is blue",0.0423335263011642
"803753","mommy i want blue",0.0421988522362491
